name,sstart,send,sstrand,feature_type,start,end,strand,locus_tag,mean_mean,mean_std,std_mean,std_std,var_mean,var_std,median_mean,median_std,cv_mean,cv_std,ff_mean,ff_std,sem,mean_mean_0,mean_std_0,std_mean_0,std_std_0,var_mean_0,var_std_0,median_mean_0,median_std_0,cv_mean_0,cv_std_0,ff_mean_0,ff_std_0,sem_0,TPM,TPM_norm,hic_Tn7,hic_sum
tmA10b,5539728,5539416,minus,CDS,5538631,5540985,minus,PP_4872,13.344025,0.730175,5.297668,0.036208,28.066591,0.383635,12.888217,0.73305,0.398348,0.024511,2.111203,0.144273,0.730175,0.079825,0.063948,0.282315,0.053237,0.082536,0.032026,0.064254,0.06091,-7.464762,14.162903,-1.660649,3.509129,0.045218,5.865,0.004666,0.511622,1017.067031
tmA11b,6006682,6007384,plus,CDS,6006631,6007557,minus,PP_5261,6.359793,0.978774,2.410036,0.080841,5.814809,0.391679,6.091093,1.023296,0.388666,0.064582,0.936319,0.15478,0.692097,0.030731,0.026978,0.204874,0.011718,0.042111,0.004897,0.022572,0.030159,-9.783592,19.723896,-2.235493,4.317995,0.019076,13.765,0.008915,1.616142,1085.215586
tmA1e,5172336,5172867,plus,CDS,5171262,5172959,minus,PP_4549,6.084257,0.149033,2.353795,0.078613,5.54653,0.370078,5.821669,0.171978,0.386782,0.003447,0.910676,0.038519,0.149033,0.03991,0.026162,0.198286,0.006312,0.039357,0.002531,0.034689,0.026656,10.567747,9.385477,2.076618,1.81427,0.018499,4.545,0.001773,0.101555,1063.638308
tmA2e,5621875,5622219,plus,CDS,5621329,5622285,minus,PP_4940,9.134403,0.430547,3.39133,0.510005,11.761225,3.459189,8.597346,0.272452,0.369459,0.038419,1.272552,0.318718,0.430547,0.061112,0.025993,0.208425,0.003693,0.043455,0.00154,0.056223,0.025558,4.132477,1.697256,0.855043,0.338488,0.025993,49.755,0.015932,0.392853,1017.530556
tmA3b,4872512,4873159,plus,CDS,4871626,4872930,plus,PP_4281,5.971445,0.613957,2.316467,0.102289,5.376481,0.472466,5.675006,0.573277,0.391169,0.035882,0.905889,0.089555,0.434133,0.08503,0.025528,0.506815,0.072069,0.262055,0.076704,0.03578,0.0286,6.570653,2.096299,3.316669,1.01853,0.018051,97.465,0.110006,0.082786,1063.266755
tmA3e,1671999,1671900,minus,CDS,1671083,1672888,minus,PP_1467,6.271271,0.838122,2.457551,0.061313,6.043318,0.298701,5.900697,0.85449,0.400461,0.064791,0.986463,0.175248,0.592642,0.060795,0.007758,0.19974,0.005687,0.039929,0.002272,0.055757,0.006609,3.327722,0.331121,0.662798,0.047215,0.007758,64.455,0.072503,0.04897,1199.744883
tmA4b,324098,324173,plus,CDS,322171,324240,minus,PP_0267,9.928996,0.212402,3.642261,0.096306,13.275339,0.701541,9.404036,0.258252,0.367206,0.017555,1.339152,0.099303,0.212402,2.444418,1.160007,4.219757,0.804022,18.4528,6.785557,0.110832,0.049786,2.026579,0.632798,8.042887,1.040838,1.160007,19.95,0.005715,0.443808,1038.921432
tmA5a,5943151,,plus,CDS,5942615,5943592,plus,PP_5210,6.907821,1.309017,3.058164,0.606659,9.720401,3.566428,6.365043,1.324374,0.449334,0.085405,1.403307,0.491372,0.654508,0.278456,0.364395,0.907981,1.057309,1.942332,3.210464,0.076855,0.037769,4.595101,1.929932,3.200445,2.964479,0.210383,47.645,0.08889,2.038361,887.985927
tmA6b,35516,35051,minus,CDS,35040,35627,minus,PP_0031,5.615167,0.941537,2.27986,0.141543,5.217794,0.631612,5.291128,0.945074,0.418532,0.081757,0.95861,0.218623,0.665767,0.026354,0.03734,0.336095,0.180794,0.145646,0.14443,0.008321,0.027952,1.729541,7.811299,1.471229,3.027924,0.026404,4.515,0.040676,3.198398,975.963472
tmA7b,4756888,4756726,minus,CDS,4756728,4758140,plus,PP_4211,7.012378,0.807772,2.907803,0.156034,8.479668,0.909081,6.569133,0.883885,0.422623,0.071694,1.238611,0.274408,0.571181,0.049121,0.009156,0.198841,0.002119,0.039542,0.000843,0.043882,0.00949,4.201983,0.826363,0.837277,0.173217,0.009156,2.165,0.000748,0.13127,1131.58206
