Name,Minimum,Maximum,Length,Direction,locus_tag,TPM,RPKM
parB CDS,147,1019,873,reverse,PP_0001,27.46,37.18
chromosome-partitioning protein,147,1019,873,reverse,,27.46,37.18
parA CDS,1029,1820,792,reverse,PP_0002,16.91,22.89
chromosome partition protein,1029,1820,792,reverse,,16.91,22.89
rsmG CDS,1839,2489,651,reverse,PP_0003,27.38,37.07
16S RNA methyltransferase,1839,2489,651,reverse,,27.38,37.07
trmF CDS,2486,4381,1896,reverse,PP_0004,25.58,34.63
tRNA uridine 5-carboxymethylaminomethyl modification protein,2486,4381,1896,reverse,,25.58,34.63
trmE CDS,5012,6382,1371,reverse,PP_0005,30.62,41.46
GTPase,5012,6382,1371,reverse,,30.62,41.46
oxaA CDS,6471,8153,1683,reverse,PP_0006,4.52,6.11
membrane protein insertase,6471,8153,1683,reverse,,4.52,6.11
yidD CDS,8156,8401,246,reverse,PP_0007,15.81,21.41
hypothetical protein,8156,8401,246,reverse,,15.81,21.41
rnpA CDS,8394,8798,405,reverse,PP_0008,13.85,18.75
ribonuclease P protein component,8394,8798,405,reverse,,13.85,18.75
rpmH CDS,8812,8946,135,reverse,PP_0009,20.78,28.13
50S ribosomal protein L34,8812,8946,135,reverse,,20.78,28.13
dnaA CDS,9542,11062,1521,forward,PP_0010,21.12,28.59
chromosomal replication initiator protein,9542,11062,1521,forward,,21.12,28.59
dnaN CDS,11103,12206,1104,forward,PP_0011,16.39,22.19
DNA polymerase III subunit beta,11103,12206,1104,forward,,16.39,22.19
recF CDS,12222,13325,1104,forward,PP_0012,30.98,41.94
DNA replication/repair protein,12222,13325,1104,forward,,30.98,41.94
gyrB CDS,13330,15750,2421,forward,PP_0013,19.84,26.87
DNA gyrase subunit B,13330,15750,2421,forward,,19.84,26.87
hypothetical protein CDS,16589,17227,639,forward,PP_5421,3.96,5.37
hypothetical protein,16589,17227,639,forward,,3.96,5.37
transposase CDS,17208,19166,1959,forward,PP_0014,9.10,12.32
transposase,17208,19166,1959,forward,,9.10,12.32
transposon protein CDS,19163,20122,960,forward,PP_0015,10.46,14.16
transposon protein,19163,20122,960,forward,,10.46,14.16
