name,sstart,send,sstrand,feature_type,start,end,strand,locus_tag,mean_mean,mean_std,std_mean,std_std,var_mean,var_std,median_mean,median_std,cv_mean,cv_std,ff_mean,ff_std,sem,mean_mean_0,mean_std_0,std_mean_0,std_std_0,var_mean_0,var_std_0,median_mean_0,median_std_0,cv_mean_0,cv_std_0,ff_mean_0,ff_std_0,sem_0,TPM,TPM_norm,hic_Tn7,hic_sum
t0A10c,4264383,4263751,minus,CDS,4263708,4264775,plus,PP_3736,18.579842,2.155529,7.055437,0.541573,50.07248,7.434733,17.63098,2.296123,0.384206,0.050458,2.72343,0.492779,1.524189,1.516521,0.834123,1.354551,0.553219,2.140859,1.300708,1.357647,0.811484,1.085757,0.352184,1.275899,0.255718,0.589814,38.74,0.01867,0.14479,1343.054321
t0B2c,102358,102644,plus,CDS,101181,103232,plus,PP_0096,7.528982,0.373701,2.933998,0.21827,8.655988,1.280809,7.192596,0.396643,0.392099,0.048452,1.160993,0.227743,0.373701,0.071101,0.002756,0.218758,0.011077,0.047978,0.004846,0.066103,0.00269,3.087381,0.275451,0.678441,0.094456,0.002756,77.44,0.065794,2.89006,965.966873
t0B8c,1363552,1363073,minus,CDS,1363308,1364630,plus,PP_1188,7.735611,0.978311,3.099131,0.23511,9.659892,1.435764,7.236382,1.020795,0.406297,0.056297,1.266295,0.244962,0.564828,6.41093,1.886997,4.003197,0.259705,16.093037,2.06584,6.012974,1.87204,0.702239,0.264527,2.832124,1.10652,1.334308,8.89,0.004618,0.130676,1127.022085
t0C4c,1363552,1363183,minus,CDS,1363308,1364630,plus,PP_1188,6.871937,0.779777,3.512151,0.50341,12.588624,3.536105,6.242924,0.816696,0.509332,0.015461,1.796633,0.310703,0.779777,4.830425,0.606363,3.691621,0.352757,13.752502,2.60449,4.880737,0.410208,0.785793,0.171669,2.961407,0.910929,0.606363,8.89,0.004618,0.130676,1127.022085
t0C8c,6114038,6113518,minus,CDS,6112871,6114316,plus,PP_5364,5.601237,0.892165,2.396993,0.224825,5.796122,1.077193,5.143936,1.030917,0.443617,0.108599,1.083852,0.364524,0.515092,0.076761,0.035513,0.284965,0.065216,0.085458,0.039145,0.068312,0.033261,4.590143,2.295039,1.28876,0.647916,0.020504,309.08,0.187549,6.438635,886.981811
t0D6c,951350,951652,plus,CDS,951170,953188,plus,PP_0813,7.637142,0.124967,3.307034,0.686373,11.407579,4.539718,7.162938,0.002128,0.431665,0.08281,1.484368,0.570137,0.124967,0.094263,0.03207,0.232978,0.018697,0.054628,0.008515,0.084906,0.030847,2.787993,0.938781,0.632056,0.15571,0.022677,5.41,0.030056,0.184577,933.62319
t0D9c,5478208,5478137,minus,CDS,5477799,5478515,minus,PP_4815,9.613791,2.869793,4.387044,1.562289,21.6869,15.368788,8.85071,2.465859,0.453129,0.058496,2.030956,0.857259,2.02925,0.136205,0.034807,0.522512,0.32416,0.378099,0.411862,0.083119,0.027252,3.516814,1.264859,2.246051,2.076797,0.024612,278.2,0.906189,0.462043,1011.851291
t0E11c,6070929,6070708,minus,CDS,6070807,6071577,minus,PP_5325,7.398459,0.828703,3.379009,0.544937,11.714654,3.891973,6.766879,0.8156,0.461412,0.080394,1.594647,0.514345,0.585981,0.073282,0.025142,0.298985,0.023881,0.089962,0.013906,0.061177,0.025472,4.58653,1.587735,1.360197,0.466441,0.014516,9.06,0.013981,2.377849,969.482164
t0E12c,5871181,5871829,plus,CDS,5870373,5872652,minus,PP_5145,7.097614,1.293634,3.19536,0.451101,10.413816,2.895412,6.781849,1.501338,0.453534,0.018479,1.441075,0.146556,0.914738,0.090148,0.028281,0.276247,0.059111,0.079807,0.033138,0.080507,0.024732,3.167187,0.330771,0.855462,0.09551,0.019998,61.595,0.03649,0.826659,1022.295899
t0E6c,6053271,6053055,minus,CDS,6052609,6053466,minus,PP_5305,11.718138,2.466906,4.749399,1.390867,24.491299,13.21156,10.977985,2.362032,0.397953,0.034916,1.9386,0.719331,2.466906,0.093989,0.016109,0.213136,0.009446,0.045516,0.004027,0.086598,0.016135,2.318553,0.296883,0.491362,0.041375,0.016109,45.745,0.23459,2.683486,1055.006016
t0E7c,950260,949592,minus,CDS,950225,951166,plus,PP_0812,5.418924,0.578585,2.287192,0.316189,5.331221,1.460858,5.098198,0.519473,0.420689,0.015568,0.966613,0.164488,0.409121,0.076995,0.039026,0.388317,0.12581,0.166619,0.108652,0.055298,0.023911,6.010815,2.357112,2.178721,0.617554,0.027595,26.905,0.00242,0.184577,933.62319
t0F1c,2386952,2386867,minus,CDS,2385889,2387103,minus,PP_2094,16.73742,1.408276,7.065463,0.465669,50.13762,6.580336,15.540417,1.703244,0.427503,0.063792,3.050214,0.649794,1.408276,0.02871,0.002753,0.220801,0.000279,0.048753,0.000123,0.024418,0.003409,7.763045,0.754201,1.714296,0.16869,0.002753,16.67,0.110397,0.134894,1386.647766
t0F2c,5872681,5872611,minus,CDS,5872675,5873154,minus,PP_5146,10.638311,0,4.194469,0,17.593567,0,10.100423,0,0.39428,0,1.653793,0,,1.606708,0.515652,1.779709,0.353804,3.292541,1.259336,1.221717,0.607237,1.15608,0.150824,2.004123,0.140602,0.515652,355.805,0.75223,0.826659,1022.295899
t0F3c,953075,953522,plus,rRNA,526763,529664,plus,PP_23SC,10.883041,1.381951,5.008661,0.376441,25.22839,3.77093,10.305751,1.338595,0.463304,0.024242,2.311409,0.052989,1.381951,2.191013,0.277587,2.742016,0.581615,7.85693,3.189595,1.661301,0.098809,1.237719,0.108644,3.457035,1.01778,0.277587,5.41,0.00284,0.184577,933.62319
t0G10c,4739886,4740679,plus,CDS,4739474,4740763,plus,PP_4194,5.208086,0.621258,2.150387,0.15014,4.646706,0.640205,4.84935,0.617784,0.418339,0.055962,0.904167,0.169012,0.439296,0.15295,0.023007,0.330628,0.061245,0.113066,0.043151,0.137691,0.018168,2.183186,0.344298,0.733999,0.22301,0.016269,18.08,0.043883,0.059399,1071.854379
t0G11c,329716,329998,plus,CDS,329251,329970,minus,PP_0271,16.624489,0.38451,5.934531,0.117168,35.232388,1.396953,15.696571,0.530038,0.357327,0.015376,2.122346,0.133764,0.27189,0.058296,0.030795,0.298815,0.022506,0.089797,0.013367,0.049069,0.028686,6.485773,2.821359,1.915979,0.836444,0.021776,8.8,0.00176,0.717951,1011.412188
t0G12c,256694,256505,minus,CDS,256315,258039,plus,PP_0205,14.985278,3.410148,6.982497,1.113424,49.99498,14.670327,14.004956,3.552754,0.474521,0.052043,3.29376,0.51776,1.705074,0.073649,0.016275,0.253015,0.050245,0.066541,0.026775,0.066824,0.015827,3.538694,0.735481,0.903067,0.258554,0.011508,16.99,0.001419,0.868199,1000.397978
