name,sstart,send,sstrand,feature_type,start,end,strand,locus_tag,mean_mean,mean_std,std_mean,std_std,var_mean,var_std,median_mean,median_std,cv_mean,cv_std,ff_mean,ff_std,sem,mean_mean_0,mean_std_0,std_mean_0,std_std_0,var_mean_0,var_std_0,median_mean_0,median_std_0,cv_mean_0,cv_std_0,ff_mean_0,ff_std_0,sem_0,TPM,TPM_norm,hic_Tn7,hic_sum
amA6a,943327,943224,minus,CDS,926689,945621,minus,PP_0806,4.903378,0.311252,2.551791,0.146683,6.533151,0.753551,4.319962,0.301426,0.521036,0.021925,1.330273,0.10111,0.155626,0.060664,0.01133,0.250179,0.020965,0.063029,0.010287,0.051596,0.01032,4.257434,0.791627,1.072875,0.250231,0.005665,540.015,0.235403,0.15978,1118.781025
amA9a,6113713,6113298,minus,CDS,6112871,6114316,plus,PP_5364,7.409758,1.000718,3.762248,0.410727,14.32321,2.995911,6.609006,0.91968,0.510512,0.034917,1.918413,0.222685,0.500359,0.072595,0.020515,0.254031,0.028088,0.06532,0.014093,0.065431,0.020457,3.76252,0.976956,0.953,0.252875,0.010257,309.08,0.156655,6.438635,886.981811
amB6a,774693,774086,minus,CDS,773394,774812,plus,PP_0665,5.246382,0.696722,2.913986,0.308959,8.586769,1.819742,4.587503,0.761557,0.561611,0.076508,1.647368,0.360105,0.348361,0.066902,0.017371,0.25484,0.041842,0.066694,0.021114,0.058655,0.015889,3.987033,0.824236,1.003659,0.188919,0.008686,2.98,0.000516,0.262053,1109.854933
amB8a,4660020,4659628,minus,CDS,4659643,4661004,plus,PP_4123,5.349766,0.759807,2.715268,0.223068,7.422441,1.203216,4.813004,0.746484,0.511929,0.03167,1.383611,0.053131,0.379904,0.044471,0.017489,0.264118,0.025056,0.070386,0.012993,0.036452,0.017102,6.584505,1.819208,1.737644,0.54099,0.008745,8.14,0.00071,0.059637,1237.162419
amB9a,4663584,4663189,minus,CDS,4661137,4663851,plus,PP_4124,5.675943,0.636305,3.044537,0.410746,9.437918,2.567253,5.092245,0.670472,0.541405,0.090032,1.676216,0.50747,0.318152,0.052663,0.023354,0.338959,0.051893,0.117586,0.037227,0.038455,0.020659,7.544065,2.768582,2.469683,0.71931,0.011677,8.14,0.001029,0.059637,1237.162419
amC10a,612073,611938,minus,intergenic,NA,NA,NA,NA,7.836686,1.408478,4.00944,0.993888,17.063421,8.452833,6.992439,1.203903,0.507567,0.054237,2.075838,0.715849,0.704239,0.050521,0.01792,0.251486,0.03194,0.064265,0.016143,0.044324,0.018402,5.622244,1.934341,1.419807,0.543247,0.010346,43.445,0.02061,0.287778,1089.796702
amC1a,4662024,4662157,plus,CDS,4661137,4663851,plus,PP_4124,7.311254,0.890558,3.477808,0.502095,12.347246,3.32926,6.677564,0.804406,0.475364,0.037096,1.664625,0.329909,0.445279,0.105639,0.045884,0.52939,0.266713,0.35139,0.312824,0.058721,0.016243,4.976046,0.952441,2.738711,1.618397,0.022942,11.09,0.012503,0.059637,1237.162419
amC7a,5868605,5868252,minus,CDS,5868580,5869362,minus,PP_5143,6.127795,1.104684,3.635442,0.464408,13.432112,3.463888,5.330392,1.012832,0.598416,0.037239,2.166204,0.222095,0.552342,0.088642,0.043912,0.475921,0.297558,0.315042,0.353237,0.050804,0.01562,5.167211,0.932509,2.636546,1.997887,0.021956,11.445,0.015119,1.112345,970.819933
amD10a,300138,300474,plus,CDS,298540,301125,minus,PP_0245,7.995944,1.54802,4.477317,0.79839,20.683798,6.932086,7.067533,1.418433,0.561838,0.011872,2.508186,0.412077,0.77401,0.101197,0.041838,0.532689,0.253988,0.348268,0.336525,0.056124,0.024137,5.53376,1.467095,2.972939,1.74751,0.024155,4.84,0.00103,0.766377,1011.440853
amD5a,5759330,5759212,minus,CDS,5758918,5759391,plus,PP_5052,7.056005,1.221692,3.595786,0.334835,13.041786,2.448501,6.346001,1.19492,0.518334,0.059428,1.853859,0.187939,0.610846,0.05773,0.018698,0.396622,0.129319,0.174032,0.114118,0.033924,0.0116,7.22194,1.900178,2.867648,1.142742,0.010795,81.3,0.115812,0.422032,1191.501847
amD7a,661488,661125,minus,CDS,661035,661490,plus,PP_0568,8.451354,0.840275,3.87277,0.410856,15.16715,3.35243,8.060028,0.793632,0.458756,0.023685,1.779528,0.239136,0.420138,0.103491,0.037814,0.460069,0.225084,0.262327,0.275187,0.066238,0.020099,4.547856,1.246172,2.180641,1.452679,0.018907,1.71,0.001166,0.165767,1056.025166
amE10a,5983069,5983791,plus,CDS,5979356,5984404,plus,PP_5242,5.411148,0.305334,2.971014,0.141263,8.846878,0.844012,4.772591,0.342449,0.550967,0.043372,1.641443,0.197801,0.215904,0.034044,0.009835,0.215785,0.002227,0.046568,0.000964,0.027986,0.01012,6.848422,1.778124,1.479096,0.386255,0.006954,4.81,0.001295,1.651573,1058.208392
amE5a,5498272,5498449,plus,CDS,5498132,5499226,plus,PP_4831,6.194548,1.092104,3.976214,0.413208,15.981016,3.236726,5.206031,1.126715,0.652846,0.075959,2.590416,0.377173,0.546052,0.056353,0.011926,0.258703,0.042571,0.06874,0.023231,0.047977,0.008604,4.64879,0.373702,1.194272,0.161279,0.008433,1.755,0.012536,0.340795,1071.607944
amE6a,5198536,5199084,plus,CDS,5197297,5198583,minus,PP_4578,6.108172,1.233747,3.673375,0.760454,14.071973,5.802509,5.328259,1.193002,0.605382,0.076275,2.240997,0.598883,0.616874,0.062362,0.017102,0.364132,0.097989,0.142194,0.073517,0.046879,0.012954,5.967881,0.962007,2.176964,0.70892,0.008551,38.17,0.00786,0.223467,1037.892202
amF12a,2091447,2092105,plus,CDS,2090675,2092354,plus,PP_1868,4.663709,0.145714,2.888742,0.242024,8.403409,1.354802,3.981243,0.243581,0.620924,0.063289,1.808505,0.315704,0.084128,0.070691,0.023485,0.285327,0.036855,0.08277,0.019842,0.062366,0.024011,4.517323,1.68144,1.311189,0.559136,0.013559,4.515,0.005848,0.305404,1338.826925
amF7a,142500,142758,plus,CDS,142057,142878,plus,PP_0134,7.153779,1.026662,3.871164,0.379952,15.130277,3.03002,6.362921,1.020821,0.548114,0.063188,2.121906,0.311466,0.513331,0.051411,0.022586,0.307151,0.026456,0.095041,0.016376,0.037366,0.019579,7.681386,4.343266,2.288644,1.174214,0.011293,8.565,0.019334,2.037407,938.907605
