name,sstart,send,sstrand,feature_type,start,end,strand,locus_tag,mean_mean,mean_std,std_mean,std_std,var_mean,var_std,median_mean,median_std,cv_mean,cv_std,ff_mean,ff_std,sem,mean_mean_0,mean_std_0,std_mean_0,std_std_0,var_mean_0,var_std_0,median_mean_0,median_std_0,cv_mean_0,cv_std_0,ff_mean_0,ff_std_0,sem_0,TPM,TPM_norm,hic_Tn7,hic_sum
l0102a,5453284,5452544,minus,intergenic,NA,NA,NA,NA,2.452291,0.149166,1.120879,0.08706,1.263949,0.201418,2.208699,0.149446,0.457556,0.028987,0.514429,0.064447,0.086121,0.063487,0.032751,0.284921,0.103787,0.091952,0.072157,0.048374,0.023654,6.412879,4.823927,1.691784,1.041602,0.016376,23.29,0.010091,0.246914,1195.032417
l0126a,1382155,1382293,plus,CDS,1381250,1382314,plus,PP_1203,2.487463,0.016006,1.014122,0.091774,1.036865,0.187081,2.301156,0.068607,0.407897,0.038907,0.417225,0.077137,0.011318,0.060447,0.028516,0.281209,0.018799,0.079432,0.010793,0.051194,0.025976,5.456696,1.712114,1.503545,0.406527,0.020164,18.06,0.019956,0.129284,1115.803439
l0132a,5784706,5784408,minus,CDS,5781526,5784834,plus,PP_5067,2.648686,0.124903,1.345075,0.113697,1.822154,0.297376,2.32323,0.14313,0.508365,0.043352,0.687894,0.108117,0.08832,0.046403,0.010848,0.218266,0.012467,0.047795,0.005533,0.040435,0.010432,4.921465,0.984603,1.067012,0.186171,0.007671,45.625,0.014785,0.74437,936.357098
l017a,5677266,5676414,minus,CDS,5676145,5678004,minus,PP_4983,4.108635,0.893186,1.957725,0.482429,4.065425,1.970637,3.720436,0.780856,0.476472,0.040894,0.940389,0.284006,0.631578,0.116854,0.097441,0.483126,0.423346,0.412633,0.612406,0.06085,0.009363,4.014276,0.475196,2.012942,1.83516,0.056258,28.445,0.038543,0.421814,986.07068
l0A12b,5943447,5943602,plus,CDS,5942615,5943592,plus,PP_5210,2.978341,0.266311,1.135056,0.063757,1.292417,0.14706,2.782024,0.252711,0.382611,0.021507,0.433875,0.027978,0.18831,0.058352,0.01476,0.242815,0.03654,0.060294,0.018688,0.046076,0.007964,4.2962,0.643655,1.030441,0.133441,0.010437,47.645,0.057266,2.038361,887.985927
l0B11a,5740729,5741282,plus,CDS,5740506,5741078,minus,PP_5037,3.065652,0.120597,1.228872,0.174015,1.540407,0.449005,2.855867,0.088301,0.399995,0.046673,0.499437,0.131651,0.085275,0.082311,0.010907,0.293967,0.028755,0.087244,0.017091,0.074186,0.010609,3.650148,0.711807,1.089627,0.314855,0.007713,34.13,0.020585,0.690265,997.438496
l0B11b,4974578,4974357,minus,CDS,4973560,4975602,minus,PP_4381,5.184055,0.181666,2.367008,0.410835,5.771514,2.055068,4.662617,0.246524,0.456781,0.077457,1.112467,0.387037,0.128457,0.087517,0.003943,0.317169,0.029809,0.101485,0.019306,0.07604,0.004817,3.63607,0.411407,1.164707,0.236032,0.002788,170.51,0.166351,0.093818,1123.081769
l0B11c,182363,182321,minus,CDS,182076,184562,minus,PP_0160,2.745167,0.157425,1.263501,0.155414,1.620588,0.404143,2.473421,0.236149,0.46314,0.073863,0.596117,0.170965,0.111317,0.057035,0.006264,0.213385,0.012802,0.045697,0.005523,0.051795,0.005067,3.763948,0.240266,0.801607,0.048501,0.004429,22.29,0.010136,2.564776,1318.446047
l0B12a,1230518,1231655,plus,CDS,1226821,1231140,plus,PP_1072,2.51959,0.223609,1.102741,0.096962,1.225439,0.217196,2.273888,0.273004,0.442137,0.064346,0.492841,0.114003,0.158116,0.047222,0.017852,0.214498,0.012249,0.04616,0.005163,0.04311,0.017882,5.663459,3.003142,1.227827,0.678175,0.012624,8.345,0.002257,0.127459,1023.837465
l0B12b,316709,317249,plus,CDS,316524,317930,minus,PP_0263,3.353587,0.105277,1.458044,0.069079,2.130664,0.202564,3.072991,0.132336,0.435396,0.028373,0.636579,0.070792,0.074442,0.062933,0.023567,0.295977,0.008167,0.087669,0.004789,0.052954,0.022623,5.835895,3.026532,1.73902,0.923849,0.016665,14.89,0.009777,0.492837,1036.222407
l0B12c,4888872,4888419,minus,CDS,4888772,4889554,plus,PP_4298,2.89355,0.176548,1.193316,0.102991,1.434611,0.252126,2.671529,0.199133,0.414534,0.049599,0.499244,0.102826,0.124838,0.061945,0.004681,0.247887,0.057854,0.064795,0.031045,0.049271,0.006224,3.957236,0.608921,1.016056,0.404114,0.00331,98.88,0.015149,0.115396,980.082369
