Name,qaccver,Sequencing plate position,Glycerol plate position,Cytometry plate position (induced),Cytometry plate position (not-induced),eLab exp,saccver,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,sstrand,Locus Tag,Feature Type,Start,End,Strand,Gene Name,Product Name,Subcellular Localization [Confidence Class],Multiple Allignments,Rest of Locus Tag Associated,,Library,Date
tmD3,H220929-053_A07_21BDRAA001_A04_premix.ab1,A04,E1,A1,A7,https://biocomplab.cbgp.upm.es//experiments.php?mode=view&id=863,,97001,867,24,2,,,950330,,0,1456,plus,PP_0812,CDS,950225,951166,+,cyoA,cytochrome bo terminal oxidase subunit II,-,False,-,,pBAMD1.2-6T,13.9.22
tmG8,H220929-053_O11_21BDRAA001_H06_premix.ab1,H06,F4,B1,B7,https://biocomplab.cbgp.upm.es//experiments.php?mode=view&id=863,,98405,439,7,0,,,951161,,0,773,minus,PP_0812,CDS,950225,951166,+,cyoA,cytochrome bo terminal oxidase subunit II,-,False,-,,pBAMD1.2-6T,13.9.22
tmD5,H220929-053_G11_21BDRAA001_D06_premix.ab1,D06,B4,C1,C7,https://biocomplab.cbgp.upm.es//experiments.php?mode=view&id=863,,90756,357,32,1,,,246288,,4.48E-119,475,minus,PP_0196,CDS,245823,247733,+,yheS,ABC transporter ATP-binding protein,-,False,-,,pBAMD1.2-6T,13.9.22
tmH4,H220929-053_E11_21BDRAA001_C06_premix.ab1,C06,A4,D1,D7,https://biocomplab.cbgp.upm.es//experiments.php?mode=view&id=863,,93234,872,39,16,,,728973,,0,1266,plus,PP_0623,CDS,728512,729474,+,rluD,23S rRNA pseudouridine(1911/1915/1917) synthase,Cytoplasmic [Class 3],False,-,,pBAMD1.2-6T,13.9.22
tmE6,H220929-053_K11_21BDRAA001_F06_premix.ab1,F06,D4,E1,E7,https://biocomplab.cbgp.upm.es//experiments.php?mode=view&id=863,,95658,737,28,4,,,4665371,,0,1181,minus,PP_4126,CDS,4664867,4665415,+,nuoI,NADH-quinone oxidoreductase subunit I,-,False,-,,pBAMD1.2-6T,13.9.22
tmC5,H220929-053_G07_21BDRAA001_D04_premix.ab1,D04,H1,F1,F7,https://biocomplab.cbgp.upm.es//experiments.php?mode=view&id=863,,98726,314,4,0,,,5112252,,5.32E-159,558,plus,PP_4496,CDS,5111344,5112411,-,rluB,23S rRNA pseudouridylate synthase B,Cytoplasmic [Class 3],False,-,,pBAMD1.2-6T,13.9.22
tmG11,H220929-053_M09_21BDRAA001_G05_premix.ab1,G05,C3,G1,G7,https://biocomplab.cbgp.upm.es//experiments.php?mode=view&id=863,,96.97,594,16,2,,,5547160,,0,996,plus,PP_4880,CDS,5546480,5549053,-,rnr,exoribonuclease R,-,False,-,,pBAMD1.2-6T,13.9.22
tm45,H220929-053_E07_21BDRAA001_C04_premix.ab1,C04,G1,H1,H7,https://biocomplab.cbgp.upm.es//experiments.php?mode=view&id=863,,88182,440,42,10,,,5943151,,5.24E-146,516,plus,PP_5210,CDS,5942615,5943592,+,-,alcohol dehydrogenase,-,False,-,,pBAMD1.2-6T,13.9.22
tmE5,H220929-053_I07_21BDRAA001_E04_premix.ab1,E04,A2,A2,A8,https://biocomplab.cbgp.upm.es//experiments.php?mode=view&id=863,,96146,519,19,1,,,6069482,,0,846,plus,PP_5323,CDS,6068711,6069607,-,-,M23/M37 family peptidase,-,False,-,,pBAMD1.2-6T,13.9.22
tmB11,H220929-053_E13_21BDRAA001_C07_premix.ab1,C07,A3,B2,B8,https://biocomplab.cbgp.upm.es//experiments.php?mode=view&id=863,,92.45,649,20,29,,,6113870,,0,900,minus,PP_5364,CDS,6112871,6114316,+,clsA,cardiolipin synthase,Cytoplasmic Membrane [Class 3],False,-,,pBAMD1.2-6T,13.9.22
tmF6,H220929-053_M07_21BDRAA001_G04_premix.ab1,G04,C2,C2,C8,https://biocomplab.cbgp.upm.es//experiments.php?mode=view&id=863,,92765,857,56,6,,,5487379,,0,1234,minus,PP_4824,CDS,5486672,5489443,+,-,two-component system sensor histidine kinase/response regulator,-,False,-,,pBAMD1.2-6T,13.9.22
tmF1,H220929-053_I05_21BDRAA001_E03_premix.ab1,E03,A1,D2,D8,https://biocomplab.cbgp.upm.es//experiments.php?mode=view&id=863,,86881,404,50,3,,,5355951,,3.97E-110,449,minus,PP_4711,CDS,5355705,5356103,-,rbfA,ribosome-binding factor A,-,False,-,,pBAMD1.2-6T,13.9.22
tmH3,H220929-053_C07_21BDRAA001_B04_premix.ab1,B04,F1,E2,E8,https://biocomplab.cbgp.upm.es//experiments.php?mode=view&id=863,,99609,511,2,0,,,6059494,,0,933,minus,PP_5311,CDS,6058961,6060364,+,-,signal transduction protein,-,False,-,,pBAMD1.2-6T,13.9.22
