Name,qaccver,saccver,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,sstrand,Locus Tag,Feature Type,Start,End,Strand,Gene Name,Product Name,Subcellular Localization [Confidence Class],Multiple Allignments,Rest of Locus Tag Associated
ts20D5,2220RAA000_C05_premix,refseq|NC_002947.4|chromosome,98817,338,4,0,100,437,20744,21081,7.07E-158,603,plus,PP_0016,CDS,20198,22114,+,-,hypothetical protein,-,False,-
ts20F3,2220RAA000_F03_premix,refseq|NC_002947.4|chromosome,99628,537,2,0,103,639,28889,29425,0,981,plus,PP_0024,CDS,27850,29547,-,-,membrane-associated metal-dependent hydrolase,-,False,-
ts20E3,2220RAA000_E03_premix,refseq|NC_002947.4|chromosome,99526,211,1,0,102,312,134668,134878,1.95E-107,385,plus,PP_0129,CDS,134105,136042,+,-,GGDEF domain-containing protein,-,False,-
ts20G6,2220RAA000_F06_premix,refseq|NC_002947.4|chromosome,100,140,0,0,103,242,185462,185601,9.39E-55,259,plus,PP_0161,CDS,184656,185612,-,-,putative transmembrane sensor,Unknown (This protein may have multiple localization sites) [Class 3],False,-
ts20C6,2220RAA000_B06_premix,refseq|NC_002947.4|chromosome,100,164,0,0,102,265,312961,313124,4.72E-83,303,plus,PP_0257,CDS,312381,313211,-,fdhD,protein sulfur transferase,-,False,-
ts20H4,2220RAA000_H04_premix,refseq|NC_002947.4|chromosome,99223,386,2,1,97,482,455868,455484,0,695,minus,PP_0375,CDS,454816,456654,-,-,prolyl oligopeptidase family protein,-,False,-
ts20H5,2220RAA000_G05_premix,refseq|NC_002947.4|chromosome,96525,259,5,4,103,359,485061,484805,1.33E-119,425,minus,-,-,-,-,-,-,-,-,False,-
ts20A6,2220RAA000_H05_premix,refseq|NC_002947.4|chromosome,94207,328,17,2,100,426,565607,565933,9.29E-142,499,plus,PP_0481,CDS,564521,565960,+,katA,catalase,-,False,-
ts20B7,2220RAA000_A07_premix,refseq|NC_002947.4|chromosome,92697,178,9,4,69,244,571584,571759,4.41E-53,254,plus,-,-,-,-,-,-,-,-,False,-
ts20D4,2220RAA000_D04_premix,refseq|NC_002947.4|chromosome,100,238,0,0,105,342,703407,703170,4.52E-124,440,minus,PP_0598,CDS,703262,703921,+,-,paraquat-inducible protein A,Cytoplasmic Membrane [Class 3],False,-
