name,sstart,send,sstrand,feature_type,start,end,strand,locus_tag,mean_mean,mean_std,std_mean,std_std,var_mean,var_std,median_mean,median_std,cv_mean,cv_std,ff_mean,ff_std,sem,mean_mean_0,mean_std_0,std_mean_0,std_std_0,var_mean_0,var_std_0,median_mean_0,median_std_0,cv_mean_0,cv_std_0,ff_mean_0,ff_std_0,sem_0,TPM,TPM_norm,hic_Tn7,hic_sum
a0A11a,703707,703144,minus,CDS,703262,703921,plus,PP_0598,10.781687,0.796469,5.01621,0.756336,25.73441,7.972018,9.702077,0.591728,0.463543,0.044448,2.355272,0.570824,0.398235,0.052531,0.009635,0.311867,0.07961,0.103599,0.052668,0.039515,0.009934,6.041448,1.544578,1.971738,0.926406,0.004818,11.805,0.003242,0.243726,1473.351094
a0A2a,4667159,4666752,minus,CDS,4666235,4668088,plus,PP_4129,9.107763,0.921364,3.886279,0.628326,15.497952,4.953698,8.430517,0.729219,0.425553,0.044867,1.677111,0.44893,0.460682,0.082991,0.046225,0.403693,0.266585,0.234036,0.317428,0.049686,0.013575,4.813093,0.961255,2.032992,1.55875,0.023112,8.14,0.001879,0.091045,978.314843
a0B11a,5244032,5244113,plus,CDS,5243180,5244481,minus,PP_4621,22.740364,2.165648,8.86128,1.124846,79.78756,19.904636,21.516802,2.596841,0.388474,0.012601,3.456524,0.547165,1.531345,0.31645,0.31423,1.283908,1.293636,3.321912,4.996154,0.088791,0.027067,3.95644,0.133403,5.211292,5.323573,0.181421,139.455,0.038813,0.084874,1082.081904
a0B5a,6113610,6113254,minus,CDS,6112871,6114316,plus,PP_5364,12.787067,0.691097,5.204354,0.525801,27.36177,5.602026,11.729528,0.615835,0.407186,0.036098,2.13479,0.380541,0.345549,0.084258,0.023648,0.372953,0.114569,0.15222,0.083497,0.058288,0.006013,4.380539,0.447896,1.663411,0.564478,0.013653,309.08,0.148882,6.438635,886.981811
a0B6a,181527,181819,plus,rRNA,178633,181534,plus,PP_23SB,12.031457,0.451916,5.462574,0.548456,30.140514,5.974649,11.132925,0.524129,0.453555,0.036918,2.49644,0.438314,0.225958,6.387795,0.315055,4.817946,0.387493,23.362759,3.807197,6.521239,0.165993,0.75326,0.027816,3.638827,0.417152,0.181897,56.235,0.004715,2.564776,1318.446047
a0B8a,734023,733615,minus,CDS,734021,735316,minus,PP_0626,10.094498,0.979576,4.790919,0.448273,23.15385,4.164774,9.093452,0.946445,0.477015,0.04918,2.298335,0.403756,0.565558,0.075116,0.021893,0.414737,0.183395,0.20564,0.176845,0.051577,0.009824,5.365859,1.034939,2.377075,1.472965,0.010946,36.765,0.028434,0.197308,1099.261394
a0B9a,12426,12283,minus,CDS,12222,13325,plus,PP_0012,13.951517,0.799404,5.551851,0.623701,31.212059,6.935236,12.786602,0.874881,0.398867,0.047346,2.240486,0.50036,0.461536,0.17229,0.114701,0.648777,0.482753,0.653962,0.790338,0.092001,0.026184,3.618853,0.837249,2.524345,2.031117,0.057351,190.19,0.012914,5.560136,994.542407
a0C10a,15761,15196,minus,intergenic,NA,NA,NA,NA,15.646215,0.623404,6.228193,0.913484,39.62484,11.976287,14.398603,0.389937,0.396675,0.044421,2.510612,0.670069,0.311702,0.068623,0.016986,0.271962,0.042053,0.075732,0.022449,0.05933,0.017317,4.346592,1.739924,1.235744,0.656555,0.008493,190.19,0.016695,3.782667,895.121697
a0C8a,6081843,6082013,plus,intergenic,NA,NA,NA,NA,14.843313,1.343519,9.835378,0.558066,97.0461,11.312655,12.757085,2.385029,0.66462,0.026299,6.528041,0.291406,0.671759,0.061149,0.018017,0.387281,0.076328,0.155812,0.064343,0.036057,0.009581,6.615563,1.425923,2.54928,0.679151,0.009009,100.955,0.056526,3.000347,941.842972
a0E10a,197093,197431,plus,CDS,194495,220543,plus,PP_0168,40.60253,4.020193,17.627958,3.004241,319.77036,110.491974,37.267086,2.985175,0.43392,0.058157,7.791833,2.347611,2.010096,0.184053,0.096672,0.690064,0.710607,0.981151,1.560849,0.111578,0.00663,2.996517,1.435559,3.085376,4.277473,0.055813,212.625,0.081842,1.57976,945.849923
a0E11a,12421,12926,plus,CDS,12222,13325,plus,PP_0012,15.028711,0.798486,6.074601,0.790756,37.526077,10.444875,13.757082,0.843054,0.404258,0.047423,2.490125,0.643685,0.399243,0.083823,0.037071,0.407492,0.119821,0.180407,0.110583,0.058654,0.020554,5.204914,1.1103,2.059214,0.465926,0.018536,29.765,0.149573,5.560136,994.542407
a0E2a,449398,449254,minus,CDS,448830,450608,plus,PP_0370,27.108555,0.97686,10.542402,0.620359,111.5271,13.298769,25.151896,1.155188,0.388739,0.014199,4.105331,0.374864,0.48843,0.483462,0.608928,2.269529,2.65448,12.197025,21.416138,0.083628,0.025982,4.870417,1.275096,11.04696,11.794006,0.304464,5.74,0.00232,0.346264,1007.29775
a0E9a,4664827,4664183,minus,CDS,4663848,4664855,plus,PP_4125,7.800715,0.643508,3.458672,0.406406,12.127579,2.931874,7.239413,0.609715,0.444564,0.049606,1.553218,0.355389,0.321754,0.069986,0.050056,0.42811,0.298634,0.27246,0.389252,0.035101,0.005056,6.275922,0.826944,2.652104,1.794265,0.025028,8.14,0.001221,0.059637,1237.162419
a0F2a,6073941,6074589,plus,CDS,6072585,6074255,minus,PP_5327,12.927512,1.06026,5.181102,0.345151,26.962944,3.467664,12.051889,1.221811,0.403473,0.044232,2.099643,0.336132,0.612142,0.225468,0.110865,1.209459,0.466529,1.68044,1.10546,0.058709,0.020704,5.663057,0.708365,6.610212,2.074374,0.055432,16.765,0.002547,2.377849,969.482164
a0F3a,181908,181984,plus,rRNA,181892,182011,plus,PP_5SB,10.126038,0.593035,4.666697,0.359722,21.90746,3.35827,9.218365,0.622978,0.460487,0.014117,2.152669,0.216613,0.296517,3.661756,0.393718,4.101741,0.50731,17.081642,3.924635,1.893593,0.178931,1.119056,0.052435,4.605097,0.710714,0.227313,56.235,0.004569,2.564776,1318.446047
