Name,qaccver,saccver,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,sstrand,Locus Tag,Feature Type,Start,End,Strand,Gene Name,Product Name,Subcellular Localization [Confidence Class],Multiple Allignments,Rest of Locus Tag Associated,
l0B5a,2145ZAA001_premix,refseq|NC_002947.4|chromosome,98195,831,3,12,92,922,28323,29141,0,1443,plus,PP_0024,CDS,27850,29547,-,-,membrane-associated metal-dependent hydrolase,-,False,-,
l0G10c,21BDRAA000_C10_premix,refseq|NC_002947.4|chromosome,98956,479,5,0,102,580,309155,308677,0,857,minus,PP_0254,CDS,308854,309294,+,-,hypothetical protein,-,False,-,
l0B12b,2191CAA000-14_premix,refseq|NC_002947.4|chromosome,98706,541,7,0,86,626,316709,317249,0,961,plus,PP_0263,CDS,316524,317930,-,dctD-I,C4-dicarboxylate transport transcriptional regulator,-,False,-,
l0E8a,2145ZAA006_premix,refseq|NC_002947.4|chromosome,98573,701,8,2,65,764,466371,467070,0,1238,plus,PP_0385,CDS,465999,466553,+,-,serine acetyltransferase,-,False,-,
l0G10a,2145ZAA011_premix,refseq|NC_002947.4|chromosome,97328,786,12,7,64,847,520417,521195,0,1327,plus,PP_0434,CDS,520204,521295,-,anmK,anhydro-N-acetylmuramic acid kinase,-,False,-,
l0H10a,2145ZAA012_premix,refseq|NC_002947.4|chromosome,96117,618,20,3,68,684,703241,703855,0,1005,plus,-,-,-,-,-,-,-,-,False,-,
l0D9b,2145ZAA045_premix,refseq|NC_002947.4|chromosome,99901,1015,0,1,94,1107,734925,735939,0,1868,plus,PP_0626,CDS,734021,735316,-,ndh,NADH dehydrogenase,-,False,-,
H11b,2191CAA000-12_premix,refseq|NC_002947.4|chromosome,98214,448,6,2,76,523,1027200,1027645,0,782,plus,PP_0885,CDS,1027114,1028739,-,dppA-III,dipeptide ABC transporter substrate-binding protein,-,False,-,
l0126a,2103ZAB013_premix,refseq|NC_002947.4|chromosome,84397,141,12,7,1,133,1382155,1382293,3.93E-31,130,plus,PP_1203,CDS,1381250,1382314,+,dinB,DNA polymerase IV,-,False,-,-
l0F9b,2145ZAA043_premix,refseq|NC_002947.4|chromosome,97966,934,18,1,93,1025,1724632,1723699,0,1618,minus,PP_1518,CDS,1724482,1725168,-,-,hypothetical protein,-,False,-,
l0D12b,2191CAA000-16_premix,refseq|NC_002947.4|chromosome,98913,644,7,0,86,729,1870984,1870341,0,1151,minus,PP_1676,CDS,1870727,1871719,+,cobC,adenosylcobinamide-phosphate synthase subunit beta,-,False,-,
l0F10b,2191CAA000-5_premix,refseq|NC_002947.4|chromosome,100,282,0,0,92,373,4670202,4670483,1.72E-148,521,plus,PP_4131,CDS,4669669,4671138,+,nuoN,NADH-quinone oxidoreductase subunit N,-,False,-,
l0B11b,2191CAA000-7_premix,refseq|NC_002947.4|chromosome,90179,224,19,3,106,328,4974578,4974357,0,289,minus,PP_4381,CDS,4973560,4975602,-,flgK,flagella hook-associated protein FlgK,,True,,
l0H9a,2145ZAA010_premix,refseq|NC_002947.4|chromosome,100,125,0,0,73,197,5000881,5001005,1.63E-61,231,plus,-,-,-,-,-,-,-,-,False,-,
l0H1a,2145ZAA003_premix,refseq|NC_002947.4|chromosome,97222,432,11,1,1,431,5095717,5096148,0,747,plus,PP_4485,CDS,5095202,5095891,-,hisQ,histidine/lysine/arginine/ornithine ABC transporter permease,-,False,-,
l0C11b,2191CAA000-8_premix,refseq|NC_002947.4|chromosome,99736,379,1,0,73,451,5203388,5203010,0,695,minus,PP_4583,CDS,5201694,5203736,+,-,putative Peptidase,-,False,-,
l0B9a,2145ZAA007_premix,refseq|NC_002947.4|chromosome,100,70,0,0,81,150,5373334,5373403,4.48E-31,130,plus,PP_mr67,ncRNA,-,-,-,-,-,-,False,-,
l0102a,2103ZAB020_premix,refseq|NC_002947.4|chromosome,97059,748,12,8,93,837,5453284,5452544,0,1251,minus,-,-,-,-,-,-,-,-,False,-,
l0C10b,2191CAA000-4_premix,refseq|NC_002947.4|chromosome,100,474,0,0,62,535,5633227,5632754,0,876,minus,PP_4947,CDS,5630471,5634424,+,putA,proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase,-,False,-,
l017a,2103ZAB016_premix,refseq|NC_002947.4|chromosome,99062,853,8,0,94,946,5677266,5676414,0,1531,minus,PP_4983,CDS,5676145,5678004,-,-,amine oxidase,-,False,-,
l0B11a,1547897_B11_PCR00198393+G12_6L3+MeOInt,refseq|NC_002947.4|chromosome,96589,557,13,5,93,646,5740729,5741282,0,918,plus,PP_5037,CDS,5740506,5741078,-,-,lipocalin family lipoprotein,-,False,-,
